FeedbackID,CustomerID,ProductID,Rating,Comment
1,17,3,2.0,Poor
2,14,1,2.0,Poor
3,15,5,2.0,Good
4,1,7,3.0,Poor
5,3,6,3.0,Good
6,16,1,2.0,Excellent
7,11,5,,
8,12,5,1.0,Bad
9,10,6,1.0,Good
10,16,3,4.0,Bad
11,8,5,2.0,Poor
12,6,7,3.0,Average
13,12,5,1.0,Good
14,8,5,5.0,Bad
15,4,5,5.0,Good
16,8,10,4.0,
17,18,10,2.0,Average
18,5,3,1.0,Poor
19,9,1,2.0,Good
20,4,5,1.0,Bad
21,17,9,4.0,Excellent
22,9,1,4.0,Good
23,1,3,5.0,Good
24,20,4,2.0,Average
25,13,1,5.0,Poor
26,16,1,2.0,Excellent
27,13,8,5.0,Bad
28,14,2,3.0,Excellent
29,3,8,3.0,Bad
30,6,7,3.0,Poor
31,18,10,3.0,Bad
32,19,10,1.0,Average
33,5,2,3.0,Average
34,15,6,4.0,
35,2,6,4.0,Average
36,10,3,1.0,Excellent
37,18,2,,Poor
38,13,1,3.0,
39,5,6,3.0,Bad
40,1,5,5.0,Average
41,1,9,2.0,Average
42,18,1,5.0,Good
43,15,7,2.0,Poor
44,17,5,3.0,Excellent
45,11,5,,Bad
46,17,2,5.0,Good
47,13,3,5.0,Good
48,1,7,2.0,Bad
49,2,6,,Excellent
50,9,2,,
