TransactionID,ProductID,Quantity,TransactionDate,CustomerID
1,7,2.0,2023-03-31,17
2,4,1.0,2023-03-08,17
3,8,7.0,2023-01-19,12
4,5,7.0,2023-01-20,14
5,7,8.0,2023-04-06,6
6,10,5.0,,3
7,3,3.0,2023-02-21,9
8,7,8.0,2023-02-02,5
9,8,6.0,2023-02-09,17
10,5,3.0,2023-02-08,14
11,4,1.0,2023-03-23,3
12,8,3.0,2023-01-01,1
13,8,5.0,2023-01-11,20
14,3,3.0,2023-04-02,1
15,6,1.0,2023-02-26,3
16,5,5.0,2023-03-30,18
17,2,7.0,2023-02-19,10
18,8,7.0,2023-01-23,3
19,6,9.0,2023-01-31,8
20,2,3.0,,14
21,5,7.0,2023-02-11,18
22,1,1.0,,15
23,10,4.0,2023-01-07,2
24,6,4.0,2023-01-16,10
25,9,5.0,2023-03-31,2
26,1,7.0,2023-03-01,17
27,10,7.0,2023-01-02,8
28,3,4.0,2023-01-01,1
29,7,7.0,2023-02-17,9
30,4,,,11
31,9,6.0,2023-03-10,16
32,3,,2023-02-06,7
33,5,9.0,2023-02-01,10
34,3,5.0,2023-01-09,3
35,7,6.0,2023-04-09,18
36,5,4.0,2023-01-19,13
37,9,7.0,2023-02-17,7
38,7,9.0,2023-03-21,4
39,2,7.0,2023-01-03,13
40,4,1.0,2023-01-20,20
41,9,,2023-01-24,1
42,2,9.0,2023-02-23,8
43,10,,2023-02-02,14
44,9,4.0,2023-01-24,16
45,10,9.0,,14
46,5,3.0,2023-03-13,12
47,2,7.0,2023-02-05,19
48,4,6.0,2023-02-07,15
49,7,8.0,2023-03-25,2
50,8,9.0,2023-04-09,2
51,3,5.0,2023-03-30,19
52,1,1.0,2023-04-09,17
53,4,3.0,2023-01-25,20
54,2,8.0,2023-04-03,10
55,8,6.0,2023-01-18,6
56,4,8.0,2023-03-23,15
57,2,9.0,2023-03-07,11
58,6,4.0,2023-02-23,5
59,6,1.0,,1
60,10,1.0,,8
61,4,,2023-03-02,12
62,6,,2023-02-10,12
63,2,2.0,2023-04-10,5
64,10,3.0,,7
65,2,1.0,2023-03-09,4
66,10,5.0,2023-02-02,6
67,4,1.0,2023-01-14,13
68,8,8.0,2023-01-21,20
69,7,1.0,2023-02-17,15
70,9,1.0,2023-01-20,3
71,8,2.0,,8
72,5,2.0,2023-01-07,20
73,2,6.0,2023-03-08,16
74,5,7.0,2023-01-17,13
75,8,5.0,2023-02-02,18
76,10,1.0,2023-02-17,10
77,9,1.0,2023-03-17,19
78,9,3.0,2023-02-28,17
79,1,2.0,2023-03-27,19
80,9,5.0,2023-01-22,5
81,7,6.0,2023-01-30,9
82,9,7.0,,12
83,8,4.0,2023-02-20,1
84,1,,2023-02-23,1
85,8,8.0,2023-01-08,15
86,8,,2023-01-27,2
87,3,6.0,2023-01-27,16
88,1,,2023-04-08,8
89,8,5.0,2023-01-21,13
90,3,4.0,2023-01-30,1
91,3,2.0,2023-04-07,16
92,1,,2023-01-28,7
93,5,6.0,2023-03-05,5
94,10,1.0,2023-04-07,3
95,7,9.0,2023-03-10,12
96,10,6.0,2023-03-02,16
97,9,3.0,2023-02-17,19
98,7,4.0,2023-01-19,5
99,9,4.0,2023-01-04,14
100,8,3.0,2023-02-04,5
